기업명,산업군,당기매출액,전기매출액,당기순이익,유동자산,유동부채,부채총계,자본총계
삼성전자,제조업,3.00871E+11,2.58935E+11,34451351000,2.27062E+11,93326299000,1.1234E+11,4.02192E+11
LG전자,제조업,87728182000,82262664000,591365000,33923517000,27307439000,40417925000,25211664000
현대자동차,제조업,1.75231E+11,1.62664E+11,13229908000,1.15764E+11,79509643000,2.19522E+11,1.20276E+11
기아,제조업,1.07449E+11,99808420000,9775005000,41797457000,26977376000,36915565000,55840309000
POSCO홀딩스,제조업,72688143160,77127197109,947580322,44029923444,22779718797,41953831078,61450367920
LG화학,제조업,4890000000,5524980000,-899000000,27815627000,21085717000,45862299000,47995463000
삼성SDI,제조업,1659220000,2143700000,575500000,10334312926,10855694147,19030107424,21567237113
현대모비스,제조업,57236995000,59254361000,4060161000,28424073000,12745182000,20478673000,46118232000
네이버,IT서비스업,10737719265,9670643577,1931976373,9374912035,6092160670,11166964188,27000911848
카카오,IT서비스업,7871692200,7557001757,-161870567,10958808525,8632656977,11830134145,13942894160
더존비즈온,IT서비스업,402332391,354630798,78026872,215914131,204315065,482789066,554824183
NHN,IT서비스업,2456107865,2269614867,-192599078,1418758452,878401421,1427673402,1765363196
안랩,IT서비스업,260569413,239201057,32395312,220101602,86491356,95894548,368769583
KG이니시스,IT서비스업,1354336925,1344791853,44713847,913210961,1056537432,1112846714,753545210
다우기술,IT서비스업,11625798456,9855141797,852762689,47687656705,47941097923,50855367307,6292556736
현대건설,건설업,32670268000,29651357000,-766221000,21100663000,14663775000,17335972000,9669413000
DL이앤씨,건설업,8318442435,7991063617,229223745,6005539219,3854535631,4866692109,4845710111
GS건설,건설업,12863811468,13436684904,263924032,8666549606,9031905116,12716169965,5087123959
대우건설,건설업,10503609086,11647800865,242849735,9588714887,4543987487,8324364439,4334091828
IPARK현대산업개발,건설업,3691161971,3590824128,155717172,5380387939,3510023081,4347278472,3114585394
태영건설,건설업,2686174111,3352921776,66803953,2195061005,2499973532,3796724785,527198972
이마트,유통도소매업,29020896861,29472247894,-573430173,10429147031,10804132771,20746562841,13184076424
롯데쇼핑,유통도소매업,1373854726,1455590000,735555,198475966,169548141,190635424,169215408
신세계,유통도소매업,6570412729,6357088542,186608864,2342662811,4947367431,8697075678,6374698444
현대백화점,유통도소매업,4187614464,4207452895,-75355,3046190875,3287978218,4983278191,6234443483
GS리테일,유통도소매업,11626920275,11134149357,9791709,1481155501,1898445971,4400125242,3181518137
호텔신라,유통도소매업,3947552203,3568466181,-61501484,1410885751,1149968381,2529540899,1284345073
CJ프레시웨이,유통도소매업,3224779013,3074242287,27405072,654342782,815556491,1148980725,415381334
한샘,유통도소매업,1908390760,1966947034,151137006,512253409,472039476,716587846,350663940
SK하이닉스,제조업,3.8E+13,4.4E+13,-1.20E+12,3.2E+13,1.8E+13,3.1E+13,5.8E+13
(주)대성텍스타일,제조업,1.25E+13,1.02E+13,1.2E+12,8.5E+12,3.1E+12,4.2E+12,9.5E+12
한성정밀공업,제조업,9.2E+12,8.1E+12,8.5E+11,6.2E+12,2.5E+12,3.2E+12,7.1E+12
바이오케어랩,제조업,6.4E+12,5.1E+12,7.2E+11,4.5E+12,1.6E+12,2.1E+12,5.2E+12
에코그린시스템,제조업,7.8E+12,6.5E+12,6.1E+11,5.5E+12,2.1E+12,2.8E+12,6E+12
(주)삼우금속,제조업,6.1E+12,5.8E+12,2.8E+11,5.2E+12,3.8E+12,4.8E+12,4.1E+12
동성케미칼,제조업,5.4E+12,5.2E+12,1.9E+11,4.1E+12,3.2E+12,4.1E+12,3.2E+12
유진푸드디렉트,유통도소매업,4.2E+12,4E+12,1.1E+11,3.3E+12,2.4E+12,3.1E+12,2.6E+12
시너지소프트,IT서비스업,3.5E+12,3.3E+12,95000000000,2.8E+12,2.2E+12,2.6E+12,2.1E+12
태양기공,제조업,4.8E+12,4.6E+12,1.3E+11,3.9E+12,3.1E+12,3.9E+12,2.9E+12
(주)대아건설,건설업,5.2E+12,5.5E+12,-1.50E+11,4.5E+12,5.1E+12,6.2E+12,1.8E+12
경인테크놀로지,제조업,3.8E+12,4E+12,-90000000000,2.9E+12,3.3E+12,4.1E+12,1.4E+12
미래유통산업,유통도소매업,4.1E+12,4.3E+12,-1.20E+11,3.1E+12,3.6E+12,4.3E+12,1.5E+12
영풍정밀기계,제조업,3.1E+12,3.2E+12,-80000000000,2.4E+12,2.9E+12,3.5E+12,1.1E+12
한국로지스틱스,유통도소매업,2.5E+12,3.5E+12,-7.20E+11,1.2E+12,4.1E+12,5.5E+12,4E+11
(주)신화글로벌,유통도소매업,1.8E+12,2.8E+12,-5.80E+11,9.5E+11,3.2E+12,4.6E+12,2.5E+11
대창모드,제조업,2.1E+12,3.1E+12,-6.10E+11,1.1E+12,3.4E+12,4.9E+12,3.1E+11
제이케이패션,유통도소매업,1.5E+12,2.4E+12,-4.90E+11,8E+11,2.8E+12,3.9E+12,1.5E+11
